id_pelanggan,kota,metode_bayar,jenis_kelamin,pernah_komplain,berlangganan_premium,kepuasan,tingkat_membership,usia,jumlah_transaksi,jumlah_produk_dilihat,total_belanja,lama_langganan_bulan,rata_rata_rating,tahun_bergabung,tanggal_transaksi_terakhir,ulasan
CUST-0052,Jakarta,E-Wallet,L,Tidak,Ya,Sangat Tinggi,Silver,35,16,37,4706000.0,33.2,4.5,2022,2025-01-14,kualitas produk bagus penjual ramah
CUST-1466,Bandung,E-Wallet,L,Tidak,Tidak,Sedang,Bronze,50,1,17,86000.0,1.2,3.6,2024,2024-10-09,cukup baik walau kemasan kurang rapi
CUST-0185,Medan,Transfer Bank,L,Tidak,Tidak,Tinggi,Bronze,17,1,6,104000.0,12.7,4.0,2023,2024-10-05,penjual responsif pelayanan memuaskan
CUST-1001,Jakarta,Transfer Bank,P,Tidak,Tidak,,Silver,34,27,29,4692000.0,44.8,5.0,2021,2025-05-22,barang sesuai deskripsi pengiriman cepat
CUST-0747,Jakarta,Transfer Bank,L,Tidak,Tidak,Sedang,Bronze,34,15,35,1850000.0,37.0,4.3,2021,2024-06-14,barang sesuai tapi pengiriman agak lama
CUST-1033,Surabaya,Kartu Kredit,P,Tidak,Tidak,Sangat Tinggi,Bronze,31,9,34,930000.0,13.4,4.4,2023,2024-09-27,sangat puas belanja lagi di sini
CUST-0926,Jakarta,Kartu Kredit,P,Tidak,Tidak,Sedang,Bronze,32,1,4,370000.0,11.0,,2024,2024-11-05,barang sesuai tapi pengiriman agak lama
CUST-0395,Jakarta,E-Wallet,P,Tidak,Tidak,Sangat Tinggi,Bronze,34,15,12,1603000.0,36.5,4.7,2021,2025-04-22,kualitas produk bagus penjual ramah
CUST-0598,Bandung,E-Wallet,P,Tidak,Tidak,Tinggi,Bronze,54,8,11,601000.0,16.8,4.2,2023,2025-02-16,pengiriman cepat barang aman sampai
CUST-0589,Jakarta,Kartu Kredit,P,Tidak,Ya,Sedang,Silver,35,26,32,5081000.0,52.0,3.5,2020,2025-01-18,kualitas produk standar harga wajar
CUST-0766,Jakarta,Transfer Bank,P,Ya,Ya,Sedang,Bronze,40,17,21,1305000.0,38.9,5.0,2021,2024-10-03,cukup baik walau kemasan kurang rapi
CUST-0142,Surabaya,Transfer Bank,L,Ya,Tidak,Rendah,Bronze,45,14,26,515000.0,10.2,4.2,2024,2025-03-04,pengiriman lama kemasan rusak
CUST-1122,Jakarta,COD,P,Tidak,Ya,Sangat Tinggi,Bronze,41,5,31,665000.0,1.4,4.9,2024,2025-03-13,sangat puas belanja lagi di sini
CUST-1062,Bandung,E-Wallet,P,Tidak,Ya,Sangat Tinggi,Bronze,28,1,13,58000.0,1.7,4.5,2024,2024-08-05,kualitas produk bagus penjual ramah
CUST-0416,Jakarta,Transfer Bank,L,Tidak,Tidak,Sangat Tinggi,Bronze,17,4,19,692000.0,10.3,4.5,2024,2024-10-15,kualitas produk bagus penjual ramah
CUST-1457,Jakarta,Transfer Bank,L,Tidak,Ya,Tinggi,Silver,47,30,16,3224000.0,44.1,4.1,2021,2025-05-09,produk bagus harga sesuai kualitas
CUST-0382,Makassar,E-Wallet,P,Tidak,Ya,Sangat Tinggi,Bronze,41,25,31,1078000.0,52.4,4.4,2020,2024-08-13,barang sesuai deskripsi pengiriman cepat
CUST-0614,Makassar,E-Wallet,P,Tidak,Ya,Tinggi,Bronze,35,1,40,49000.0,7.6,3.9,2024,2024-12-06,penjual responsif pelayanan memuaskan
CUST-0248,Surabaya,E-Wallet,P,Tidak,Ya,Tinggi,Silver,27,27,39,3915000.0,57.8,4.2,2020,2024-12-09,produk bagus harga sesuai kualitas
CUST-0808,Jakarta,E-Wallet,P,Tidak,Tidak,Rendah,Silver,32,28,49,3935000.0,57.1,3.3,2020,2024-10-22,penjual lambat membalas pesan
CUST-0494,jakarta ,Transfer Bank,P,Tidak,Ya,Sangat Tinggi,Bronze,27,6,19,652000.0,10.5,4.3,2024,2024-09-10,sangat puas belanja lagi di sini
CUST-0737,Jakarta,Transfer Bank,L,Tidak,Tidak,Tinggi,Bronze,29,6,15,1534000.0,1.9,4.1,2024,2024-08-24,penjual responsif pelayanan memuaskan
CUST-0692,Makassar,E-Wallet,P,Tidak,Ya,Tinggi,Bronze,30,3,18,238000.0,4.5,4.1,2024,2024-10-28,pengiriman cepat barang aman sampai
CUST-0245,Bandung,Kartu Kredit,L,Ya,Tidak,Sedang,Bronze,18,8,21,1178000.0,10.9,4.4,2024,2024-07-15,kualitas produk standar harga wajar
CUST-0905,Makassar,Kartu Kredit,L,Tidak,Tidak,Sangat Tinggi,Bronze,27,19,18,1813000.0,29.2,5.0,2022,2025-02-17,sangat puas belanja lagi di sini
CUST-1279,Medan,Transfer Bank,L,Tidak,Tidak,Sedang,Bronze,26,19,29,1415000.0,37.1,3.8,2021,2024-10-14,cukup baik walau kemasan kurang rapi
CUST-0788,Jakarta,Kartu Kredit,L,Tidak,Tidak,Sedang,Silver,28,17,31,3672000.0,43.4,4.0,2021,2024-08-11,cukup baik walau kemasan kurang rapi
CUST-0381,Surabaya,E-Wallet,L,Tidak,Tidak,Rendah,Silver,46,29,21,2821000.0,42.6,3.6,2021,2025-03-14,penjual lambat membalas pesan
CUST-1456,Jakarta,E-Wallet,L,Tidak,Tidak,Tinggi,Bronze,33,16,28,1659000.0,32.8,4.5,2022,2025-04-29,produk bagus harga sesuai kualitas
CUST-1474,Surabaya,COD,L,Tidak,Ya,Sangat Tinggi,Bronze,41,8,29,773000.0,28.2,5.0,2022,2024-07-13,kualitas produk bagus penjual ramah
CUST-1188,Makassar,E-Wallet,L,Tidak,Tidak,Tinggi,Bronze,34,7,35,289000.0,20.2,4.4,2023,2024-06-23,penjual responsif pelayanan memuaskan
CUST-0465,Bandung,Kartu Kredit,P,Tidak,Tidak,Sangat Tinggi,Bronze,33,20,48,1886000.0,33.8,4.2,2022,2025-02-27,sangat puas belanja lagi di sini
CUST-0620,Jakarta,Transfer Bank,P,Tidak,Ya,Tinggi,Silver,36,15,32,2999000.0,16.8,4.3,2023,2025-05-04,pengiriman cepat barang aman sampai
